Wavelength  Distance
382.9270570654712 1.406782236644417
383.9190960734128 1.6068523595632502
384.9162885307464 1.8535485277902284
385.9065666865372 2.1884902520051965
386.88978359335687 2.610525607794127
387.8902554399243 3.1345103693756653
388.8836194631509 3.8492867476593102
389.86972645725695 4.859081368349288
390.86084718294194 6.161171132379351
391.85701997515054 7.900046591474122
392.8457361865219 10.061314714063618
393.83945438826805 13.074496325685995
394.82553847141526 17.49702920867505
395.8165728077233 23.64890371600033
396.81259476723557 32.24777771893832
397.8007761966365 44.202464504260746
398.79389164478164 60.31244060311591
399.7919781577066 81.87317239309375
400.7820136852395 110.53763150497572
401.7769647873522 148.15706792926915
402.76367922983724 193.4228719942934
403.7552521008403 248.65735777481873
404.7517193721412 310.44857817029947
405.73973280554185 379.4775161733451
406.732581594524 456.40791513745694
407.7303013226373 533.6372549063371
408.71934604904635 616.2543761780901
409.71320075946835 696.0095641650552
410.6981869177602 798.8847896148503
411.70170036149415 879.4599046615828
412.68243583291394 972.4648120868934
413.6817677328221 1031.1632873966696
414.6719708718225 1130.8573624910914
415.6669257544524 1190.2846780463801
416.65255242031094 1221.9293590078905
417.6428644188652 1313.5464577765601
418.6378952384194 1353.8652025527167
419.6376786871823 1396.4418677528606
420.62786403118804 1418.7544425662509
421.62273334932985 1437.9992825025954
422.60779934719125 1473.3664201673148
423.59747907841717 1477.5520957740453
424.59180503296625 1480.7438325009603
