x	low_nr	mid_nr	high_nr	low_er	mid_er	high_er
9.03010033444816	2.870191824687149	3.0536963757814624	3.2264343660184456	3.1921067583891447	3.3179952452188104	3.4460260383411474
9.331103678929766	2.8803894263506526	3.0618062013227147	3.232545909177544	3.1976959205254865	3.323582255273447	3.451583747345947
9.632107023411372	2.890293646654901	3.0696906145923206	3.23849936978805	3.20319507010604	3.329089743450835	3.4570751796179953
9.933110367892978	2.8999172528574477	3.0773590856522945	3.2443009313279916	3.2086068376411307	3.3345195893985324	3.4625014821640576
10.234113712374583	2.909272282007332	3.084820561413565	3.249956458932985	3.213933752131848	3.339873613988564	3.46786377567541
10.535117056856189	2.9183700924134444	3.0920835012691543	3.2554715196223376	3.2191782459197067	3.3451535815969473	3.4731631552782223
10.836120401337794	2.927221410820149	3.0991559098540202	3.2608514010024052	3.224342659260907	3.350361202277948	3.4784006912584093
11.137123745819398	2.9358363757021335	3.1060453671982864	3.2661011285792942	3.2294292446432644	3.35549813383869	3.483577429761961
11.438127090301004	2.944224577045909	3.1127590565126577	3.271225481800066	3.234440170862545	3.360565983819407	3.488694393471711
11.73913043478261	2.952395092946138	3.1193037898201506	3.2762290089300716	3.239377526873705	3.3655663113843084	3.4937525822614623
12.040133779264215	2.960356523310399	3.1256860316264046	3.2811160408637625	3.244243325431401	3.370500629127726	3.4987529738283554
12.34113712374582	2.9681170209354857	3.1319119208014836	3.2858907039571155	3.2490395065331112	3.375370404799943	3.503696524304307
12.642140468227426	2.9756843201912995	3.1379872908288666	3.2905569319615995	3.253767940677226	3.3801770629568364	3.5085841688473374
12.943143812709032	2.983065763524499	3.143917688562027	3.295118477132224	3.2584304319476227	3.3849219865372326	3.5134168222135407
13.244147157190636	2.9902683259728255	3.149708391615372	3.2995789205755903	3.263028720935395	3.389606518371642	3.518195379310443
13.545150501672241	2.997298637862151	3.155364424504154	3.303941681897934	3.267564487507696	3.39423196262583	3.522920715732445
13.846153846153847	3.0041630058415008	3.1608905736371002	3.3082100282077826	3.272039353432932	3.3987995861824865	3.5275936882790244
14.147157190635452	3.0108674323963314	3.1662914012557946	3.3123870825230415	3.2764548848709363	3.403310619964067	3.532215135456346
14.448160535117058	3.0174176339669634	3.1715712584061326	3.3164758316279728	3.2808125947361537	3.4077662601997107	3.5367858779628865
14.749163879598663	3.023819057787126	3.1767342970193715	3.3204791334216113	3.28511394494133	3.412167669638965	3.5413067191596745
15.050167224080269	3.0300768975468717	3.1817844811732656	3.3243997237956084	3.2893603485286893	3.4165159787149166	3.545778445525709
15.351170568561875	3.0361961079745083	3.1867255975974955	3.328240223076294	3.293553171695137	3.4208122866591655	3.550201827099096
15.65217391304348	3.042181418423605	3.191561265481888	3.3320031420628258	3.297693735717576	3.425057662570949	3.55457761790442
15.953177257525084	3.0480373455433805	3.1962949456408296	3.3356908876906757	3.301783318784047	3.4292531464426093	3.5589065563668645
16.25418060200669	3.0537682051038084	3.2009299490826377	3.3393057683472875	3.3058231577360155	3.433399750143463	3.5631893657135345
16.555183946488295	3.0593781230405135	3.205469445028482	3.3428499988645854	3.3098144497267965	3.43749845836403	3.5674267543624607
16.8561872909699	3.0648710457788564	3.2099164684216723	3.346325705211017	3.313758353800796	3.441550229522478	3.5716194162997157
17.157190635451506	3.070250749891506	3.214273926964705	3.349734928904018	3.3176559923979347	3.445555996635022	3.5757680314450617
17.45819397993311	3.0755208511391565	3.2185446077183486	3.353079631162145	3.3215084527873637	3.449516668151956	3.5798732660065387
17.759197324414718	3.080684812939879	3.222731183294256	3.3563616968146226	3.325316788434319	3.453433128760878	3.5839357728243817
18.06020066889632	3.085745954308796	3.2268362176699994	3.359582937984674	3.32908202030372	3.4573062401586037	3.587956191704635
18.36120401337793	3.0907074573063205	3.230862171653135	3.3627450975617674	3.332805138103907	3.4611368417931874	3.5919351497428305
