s1c 	 mean 	 psig1 	 nsig1
144.00043421623968 	 4.449810030395137 	 4.529758615258037 	 4.369861445532238 
146.0077519379845 	 4.457874677002584 	 4.538324060918976 	 4.377425293086192 
147.97950283471434 	 4.46545682511993 	 4.545842405745296 	 4.385071244494564 
149.9837104072398 	 4.471497737556563 	 4.551358631855995 	 4.391636843257131 
152.02511210762333 	 4.474376681614352 	 4.554591418882921 	 4.394161944345783 
153.9907284768212 	 4.47691280353201 	 4.556056033092657 	 4.397769573971363 
155.98782138024356 	 4.482172981506541 	 4.559745645686988 	 4.404600317326095 
157.9818688981869 	 4.487848675034867 	 4.5645786485751865 	 4.411118701494547 
160.0253807106599 	 4.4972531149054 	 4.575478538209899 	 4.4190276916009 
162.00179694519318 	 4.499025157232704 	 4.580021028288751 	 4.418029286176656 
