Wavelength	QE
544	0.09854631008197515
545	0.09717473913402792
546	0.09580437860314428
547	0.09443539298668457
548	0.09306794678200596
549	0.09170220448646241
550	0.0903383305974148
551	0.0889764896122198
552	0.08761684602823186
553	0.08625956434281348
554	0.08490480905332184
555	0.08355274465711089
556	0.0822035356515415
557	0.08085734653396821
558	0.07951434180175346
559	0.0781746859522507
560	0.0768385434828187
561	0.07550607889081408
562	0.07417745667359664
563	0.07285284132852092
564	0.07153239735294886
565	0.07021628924423387
566	0.06890468149973684
567	0.0675977386168123
568	0.06629562509282111
569	0.06499850542511884
570	0.06370654411106107
571	0.062419905648010775
572	0.06113875453332141
573	0.059863255264349644
574	0.05859357233845523
575	0.0573298702529991
576	0.05607231350533148
577	0.05482106659281751
578	0.05357629401280639
579	0.05233816026266218
