energy barns
0.0051725 461861.8
0.005335 455830.7
0.00566 444597.1
0.00631 424928.6
0.0067175 414162.4
0.007125 404387.7
0.00794 387281.2
0.008455 377850.2
0.00897 369295.1
0.01 354335.5
0.0109875 342131.9
0.011975 331544.1
0.0129625 322227.9
0.01395 313927.2
0.0149375 306448.5
0.015925 299642.2
0.0179 287596.5
0.01995 276723
0.02 276474
0.02016563 275653.8
0.02033125 274840.9
0.0206625 273235.8
0.021325 270103
0.02265 264105.7
0.0253 252911.8
0.02835 240864.1
0.0314 229293.4
0.0336675 220844.2
0.03570907 213294.6
0.03775063 205778.9
0.03979219 198291.1
0.04183375 190836.4
0.04387532 183427.7
0.04591688 176083.4
0.05 161678.2
0.053275 150500.9
0.05655 139750.3
0.059825 129492.9
0.0631 119782.9
0.0660978 111409.2
0.0690956 103544.6
0.0720934 96192.28
0.07509119 89344.8
0.07808899 82986.68
0.08108679 77096.6
0.08408459 71650.08
0.08708238 66622.19
0.09031179 61645.47
0.09354119 57093.19
0.0967706 52931.95
0.1 49128.33
0.1020002 46937.59
0.1040004 44864.38
0.1060006 42901.91
0.1080007 41043.94
0.1100009 39284.37
0.112001 37617.79
0.1140012 36038.73
0.1160013 34542.3
0.1180015 33123.57
0.1200016 31778.14
0.1220018 30501.68
0.1240019 29290.37
0.1260021 28140.42
0.1280022 27048.53
0.1320025 25025.63
0.1342993 23953.39
0.136596 22940.74
0.1388927 21983.55
0.1411894 21078.08
0.1434862 20220.91
0.1457829 19409.04
0.1480796 18639.61
0.1503763 17909.99
0.1526731 17217.72
0.1549698 16560.59
0.1595632 15343.49
0.1641566 14243.78
0.16875 13248.4
0.1726563 12475.05
0.1765625 11761.78
0.1804688 11102.5
0.184375 10492.05
0.1882813 9925.936
0.1921875 9400.279
0.1960938 8911.596
0.2 8456.847
0.2047991 7940.569
0.2095982 7466.737
0.2143973 7031.123
0.2191963 6629.944
0.2239954 6259.777
0.2287944 5917.527
0.2335935 5600.387
0.2383925 5305.97
0.2450735 4930.149
0.2517544 4589.838
0.2584354 4281.125
0.2651163 4000.567
0.2717973 3745.039
0.2784782 3511.803
0.2851591 3298.379
0.29184 3102.498
0.3000063 2884.105
0.3081725 2686.245
0.3163388 2506.595
0.324505 2343.213
0.3326713 2194.373
0.3408375 2058.483
0.3490038 1934.154
0.35717 1820.159
0.3629129 1745.542
0.3686557 1675.082
0.3743985 1608.47
0.3801413 1545.446
0.3858841 1485.774
0.3916269 1429.234
0.3973697 1375.629
0.4031125 1324.786
0.4145982 1230.759
0.4260838 1145.941
0.4375694 1069.204
0.449055 999.4739
0.4617913 929.4039
0.4745275 866.3147
0.5 756.1594
0.515843 697.0378
0.531686 644.9779
0.5633719 555.9308
0.5950579 482.644
0.6267438 422.3775
0.6584298 372.4216
0.6901157 330.1182
0.7218016 294.2592
0.7534875 263.7012
0.7843016 238.1936
0.8151157 216.2273
0.8459298 196.7733
0.8767438 179.8465
0.9075579 164.8278
0.9383719 151.5956
1 129.3797
1.073112 108.7051
1.146223 92.52065
1.219334 79.68945
1.292445 69.47221
1.365557 61.0848
1.438668 54.23819
1.511779 48.62416
1.58489 44.02488
1.688668 38.88022
1.792445 35.06992
1.896223 32.43388
2 30.88327
2.063987 30.5586
2.117976 30.73565
2.171964 31.37241
2.225953 32.59819
2.279941 34.55335
2.33393 37.64913
2.360924 39.76644
2.387918 42.38097
2.414912 45.62117
2.441906 49.65529
2.4689 54.7097
2.495894 61.13908
2.51189 65.81197
2.531515 72.68152
2.551139 81.14162
2.570763 91.69204
2.590387 105.0483
2.610012 122.2576
2.619824 132.7731
2.629636 144.9092
2.639448 159.0146
2.64926 175.5348
2.659072 195.0418
2.668884 218.2712
2.677147 241.4098
2.68541 268.5681
2.693673 300.6203
2.701936 338.6247
2.710199 383.8312
2.718462 437.6593
2.726725 501.6235
2.734987 577.1714
2.743956 673.6254
2.752925 785.6256
2.761894 912.1151
2.770863 1049.762
2.779832 1192.507
2.788801 1331.576
2.79777 1456.191
2.806738 1554.96
2.815869 1618.576
2.825 1637.771
2.83261 1618.07
2.840219 1567.527
2.847829 1490.167
2.855438 1391.829
2.866739 1221.615
2.87804 1041.915
2.889341 870.3242
2.900642 717.8997
2.911943 589.3438
2.917594 534.1419
2.923244 484.6678
2.928895 440.5062
2.934545 401.2171
2.940195 366.3151
2.945845 335.3285
2.952609 302.7557
2.959373 274.4498
2.966137 249.7882
2.9729 228.235
2.979664 209.3235
2.986427 192.67
2.999954 164.8688
3.013482 142.7909
3.027009 124.9974
3.040536 110.455
3.054063 98.41631
3.068823 87.49658
3.083583 78.38785
3.098343 70.71059
3.113102 64.18232
3.127862 58.58625
3.142621 53.7548
3.157381 49.55383
3.17214 45.87674
3.20166 39.76536
3.231179 34.91893
3.260698 31.00933
3.290217 27.80859
3.320602 25.0836
3.350987 22.81324
3.381372 20.8997
3.411756 19.25847
3.442141 17.83448
3.472526 16.59378
3.533295 14.5486
3.594065 12.93917
3.654834 11.64388
3.715604 10.58165
3.776373 9.703973
3.85285 8.788115
3.929327 8.020553
4.005804 7.379618
4.08228 6.832789
4.235234 5.945821
4.388187 5.26416
4.541141 4.722779
4.694094 4.281881
5 3.608864
5.01187 3.585951
5.057674 3.502292
5.103477 3.424371
5.195084 3.280316
5.378297 3.028615
5.744723 2.627553
6.111149 2.329922
6.294362 2.206782
6.477575 2.10734
6.844002 1.934174
7.210428 1.802167
7.576854 1.702759
7.94328 1.630332
8.45746 1.56555
8.97164 1.537218
9.48582 1.542239
10 1.580564
10.42553 1.643846
10.85105 1.724703
11.27657 1.842779
11.70209 2.003835
12.12761 2.218847
12.55313 2.504553
12.76589 2.683483
12.97865 2.895359
13.19141 3.146075
13.40417 3.445325
13.6079 3.789365
13.81163 4.205492
14.01536 4.715411
14.21909 5.349935
14.42282 6.146224
14.52469 6.624236
14.62655 7.17648
14.72842 7.813397
14.83028 8.552868
14.93215 9.418973
15.03401 10.44309
15.16135 12.0116
15.28868 14.01345
15.35235 15.23084
15.41601 16.63133
15.47968 18.25108
15.54334 20.13874
15.61974 22.87602
15.69614 26.31803
15.73434 28.38711
15.77254 30.75406
15.81074 33.49177
15.84893 36.70476
15.88401 40.21328
15.91909 44.46688
15.95417 49.83385
15.97171 53.13153
15.98924 57.0022
16.00678 61.62821
16.02432 67.23608
16.04186 74.10248
16.0594 82.53485
16.07694 92.83223
16.09448 105.221
16.11202 119.7698
16.12955 136.2884
16.1486 155.8913
16.16764 176.1358
16.18669 195.5855
16.20573 212.6276
16.22287 224.7551
16.24 233.1408
16.25143 236.5587
16.26857 238.6442
16.2857 237.7792
16.31306 233.2263
16.34042 229.7256
16.35923 230.7071
16.37804 236.0694
16.39685 246.918
16.41565 264.2341
16.43446 289.1554
16.44387 304.9329
16.45327 323.2264
16.46268 344.3963
16.47208 368.7944
16.48148 396.9294
16.49088 429.3967
16.50456 485.9015
16.51824 555.9013
16.53192 642.8883
16.53876 694.0552
16.5456 751.1293
16.55244 814.7596
16.55928 885.6327
16.56612 964.4637
16.57296 1051.984
16.5798 1148.925
16.58664 1255.999
16.60031 1502.962
16.60972 1700.333
16.61912 1920.85
16.62852 2164.944
16.63792 2432.034
16.65673 3028.249
16.67553 3682.845
16.70529 4724.416
16.72017 5181.978
16.73505 5553.262
16.7467 5764.619
16.75835 5894.351
16.77 5935.721
16.78168 5886.352
16.79335 5748.86
16.80503 5530.27
16.82173 5099.837
16.83843 4569.181
16.87183 3392.544
16.88714 2873.339
16.90245 2398.461
16.9193 1941.48
16.92772 1741.008
16.93614 1559.17
16.94457 1395.264
16.95299 1248.83
16.96141 1118.575
16.96983 1003.258
16.97826 901.4424
16.98668 812.0196
16.9951 733.5381
17.00352 664.7344
17.01194 604.4288
17.02036 551.5407
17.02878 505.0958
17.0372 464.2272
17.05252 401.7472
17.06783 351.5092
17.08314 310.5903
17.09845 276.8335
17.11377 248.6168
17.12908 224.7833
17.14439 204.4215
17.1597 186.8596
17.17502 171.5755
17.19033 158.1927
17.22095 135.9203
17.25157 118.223
17.28219 103.9078
17.31129 92.68678
17.34038 83.2762
17.36948 75.29542
17.39857 68.46746
17.42767 62.57195
17.45676 57.44726
17.48585 52.9627
17.51494 49.01698
17.57313 42.43034
17.63131 37.19761
17.6895 32.97743
17.74768 29.53284
17.80587 26.69346
17.86406 24.33697
17.92225 22.36611
17.98043 20.7014
18.03862 19.28554
18.0968 18.08129
18.21317 16.19253
18.32955 14.8507
18.44592 13.93559
18.56229 13.37267
18.67866 13.12006
18.79504 13.16136
18.91141 13.50316
19.02778 14.17659
19.14415 15.24318
19.26052 16.80699
19.31871 17.82371
19.37689 19.0308
19.43508 20.46345
19.49326 22.17303
19.55145 24.23242
19.60963 26.731
19.68313 30.70033
19.71988 33.11896
19.75663 35.90031
19.79338 39.117
19.83013 42.86168
19.86688 47.25542
19.90363 52.45912
19.92773 56.41244
19.95182 60.88159
19.97591 65.96413
20 71.7798
20.02393 78.43211
20.04785 86.1437
20.07177 95.16413
20.09569 105.8204
20.10765 111.8944
20.11961 118.5549
20.13157 125.8842
20.14353 133.9807
20.15549 142.9623
20.16745 152.972
20.17941 164.1841
20.19137 176.8125
20.20084 187.9885
20.21031 200.375
20.21978 214.1597
20.22925 229.5654
20.23872 246.8561
20.24819 266.3441
20.25766 288.3971
20.26712 313.4181
20.27659 341.9609
20.28606 374.5792
20.29553 411.9328
20.305 454.7657
20.31447 503.9034
20.32394 560.2466
20.33341 624.7568
20.34287 698.3517
20.35384 796.4743
20.3648 909.647
20.37577 1039.415
20.38673 1186.579
20.3977 1352.004
20.40866 1535.377
20.41962 1736.078
20.43058 1952.453
20.45207 2411.131
20.47355 2887.448
20.49504 3337.538
20.51652 3709.885
20.53826 3958.608
20.54913 4022.743
20.56 4043.02
20.56622 4034.534
20.5867 3905.822
20.60717 3638.497
20.62764 3266.206
20.64811 2831.842
20.69035 1918.631
20.71147 1521.454
20.72203 1346.246
20.73259 1187.71
20.74316 1045.715
20.75372 920.0139
20.76428 809.5706
20.77484 713.2293
20.7854 629.6811
20.79596 557.5533
20.80652 495.4806
20.81708 442.1572
20.82765 396.3321
20.83821 356.996
20.84877 323.1322
20.85933 293.8959
20.86989 268.5617
20.88045 246.514
20.89101 227.2348
20.90157 210.2916
20.92174 183.1701
20.9419 161.3901
20.96206 143.5919
20.98222 128.8297
21.00238 116.4286
21.02254 105.8984
21.0427 96.87638
21.06286 89.08912
21.08302 82.32695
21.10318 76.42693
21.1435 66.72779
21.18382 59.25612
21.22414 53.56227
21.26255 49.5769
21.30095 46.97619
21.33936 45.98332
21.35856 46.25786
21.37776 47.19751
21.39984 49.30916
21.42192 52.81136
21.444 58.03687
21.46608 65.2929
21.48816 74.76454
21.51024 86.39104
21.5544 113.9562
21.5736 126.0227
21.5928 136.7577
21.6071 143.2684
21.6214 148.0781
21.6357 150.8817
21.65 151.4848
21.67145 148.1625
21.6929 140.1353
21.71478 128.089
21.73666 113.5523
21.78042 82.91713
21.80483 67.68087
21.81703 60.958
21.82923 54.88966
21.84144 49.47604
21.85364 44.70553
21.86584 40.53485
21.87804 36.91358
21.89025 33.78259
21.90245 31.08821
21.91465 28.77032
21.92685 26.77524
21.95126 23.56347
21.97566 21.1351
21.99626 19.51943
22.01685 18.19452
22.05803 16.14796
22.09921 14.63196
22.14039 13.45646
22.18158 12.5159
22.22276 11.74804
22.30512 10.58188
22.38749 9.764052
22.46985 9.205223
22.55222 8.875062
22.63458 8.786359
22.68339 8.871079
22.7322 9.085748
22.78101 9.46887
22.82982 10.08514
22.85423 10.51351
22.87863 11.04884
22.90304 11.7217
22.92744 12.5741
22.95185 13.66811
22.97625 15.09247
23.00066 16.97986
23.01286 18.15322
23.02506 19.51916
23.04489 22.24538
23.06472 25.76401
23.07464 27.89028
23.08455 30.29864
23.09447 33.02579
23.10438 36.09805
23.1143 39.55232
23.12421 43.4096
23.14404 52.43536
23.16387 63.27168
23.1837 75.83982
23.21115 95.45381
23.2386 116.0145
23.25955 130.7416
23.2805 143.1484
23.30145 151.9499
23.32239 156.1607
23.33 156.4412
23.35284 153.2318
23.37568 144.4
23.39468 133.599
23.41367 120.6538
23.45165 92.30363
23.46937 79.52802
23.48709 67.757
23.50481 57.28319
23.52253 48.23524
23.54025 40.60945
23.55797 34.30855
23.57569 29.17987
23.5934 25.0495
23.60395 22.98929
23.6145 21.18474
23.63559 18.21782
23.65669 15.92449
23.67778 14.13417
23.69888 12.7156
23.71997 11.57551
23.74106 10.64496
23.76215 9.874884
23.78325 9.229485
23.80434 8.683322
23.84652 7.814843
23.88871 7.162884
23.93089 6.663811
23.97139 6.290819
24.01189 5.998055
24.09289 5.593865
24.17389 5.371876
24.25488 5.293645
24.32576 5.331513
24.39663 5.470126
24.46751 5.721346
24.53838 6.108849
24.60926 6.673065
24.6447 7.040622
24.68013 7.479758
24.71557 8.006093
24.751 8.639884
24.78644 9.409482
24.82187 10.35315
24.85731 11.52596
24.89275 13.00677
24.92819 14.91511
24.94591 16.08511
24.96362 17.44118
24.98134 19.03016
24.99906 20.91235
25.01678 23.17087
25.0345 25.91995
25.05222 29.31692
25.06994 33.5774
25.08766 38.99327
25.09652 42.25117
25.10537 45.94693
25.11365 49.86227
25.12192 54.27525
25.13019 59.25541
25.13846 64.87318
25.14674 71.21188
25.15501 78.33539
25.16328 86.33268
25.17155 95.2865
25.17983 105.2912
25.1881 116.4008
25.20464 142.2446
25.22119 173.28
25.23773 209.619
25.24888 237.0101
25.26002 266.4803
25.27117 297.7594
25.28231 330.346
25.29717 374.8984
25.31203 419.1698
25.34175 499.1484
25.36274 541.6687
25.38373 567.0806
25.4 573.0127
25.41628 566.3742
25.43212 548.309
25.44795 520.0661
25.46378 483.5014
25.47961 440.8895
25.50375 369.7754
25.52789 298.3748
25.54449 252.487
25.56108 210.8868
25.57768 174.3076
25.59427 143.0623
25.61087 116.9751
25.61917 105.7495
25.62746 95.65664
25.63576 86.59491
25.64406 78.49596
25.65236 71.27739
25.66065 64.86487
25.67574 54.98263
25.69083 47.04156
25.70592 40.65669
25.721 35.507
25.73609 31.32114
25.75118 27.89183
25.76627 25.05388
25.78135 22.68113
25.79644 20.6728
25.81153 18.95604
25.82662 17.47395
25.8417 16.1837
25.87187 14.04775
25.90204 12.35688
25.93071 11.05112
25.95937 9.967349
25.98804 9.055265
26.0167 8.279451
26.04537 7.612496
26.07403 7.034515
26.13136 6.085428
26.18869 5.343162
26.24602 4.750701
26.30335 4.269757
26.36067 3.873715
26.43611 3.449693
26.51154 3.107438
26.58697 2.82568
26.6624 2.590652
26.73783 2.392454
26.81326 2.223502
26.96412 1.951607
27.11499 1.743679
27.26585 1.580965
27.41671 1.447883
27.56757 1.337811
27.82103 1.191177
28.07448 1.078638
28.32793 0.9917543
28.58138 0.9177047
28.83483 0.8576706
29.08828 0.8072113
29.59518 0.7273664
30.10208 0.6681012
30.60898 0.623581
31.62278 0.5642713
32.13453 0.5452491
32.64628 0.5325759
33.66977 0.5227995
34.85319 0.5364773
35.4449 0.5552589
36.0366 0.5841791
36.62831 0.6270025
37.22002 0.6909645
37.51588 0.7350307
37.81173 0.7928146
38.10758 0.8703278
38.25551 0.9191883
38.40343 0.9781307
38.53137 1.040703
38.65931 1.117368
38.78725 1.21325
38.91518 1.336122
39.04312 1.49839
39.10709 1.600946
39.17105 1.723353
39.23502 1.871602
39.29899 2.053901
39.36296 2.282214
39.42692 2.574786
39.4749 2.853541
39.52287 3.203887
39.57085 3.6558
39.59484 3.933915
39.61882 4.257763
39.64281 4.639539
39.6668 5.095457
39.69079 5.648247
39.71477 6.329504
39.73876 7.184661
39.76275 8.276133
39.77475 8.936598
39.78674 9.68996
39.79873 10.55203
39.81072 11.54019
39.82199 12.60137
39.83326 13.80903
39.84453 15.18257
39.85579 16.74124
39.86706 18.5095
39.87832 20.50644
39.88959 22.75781
39.90085 25.28099
39.91212 28.10023
39.92339 31.23047
39.94592 38.46833
39.96845 47.03445
39.99098 56.84637
40.02893 75.45622
40.06688 94.66278
40.08918 104.9381
40.11148 113.5669
40.13378 119.8775
40.15608 123.3491
40.17 123.935
40.19785 121.3894
40.21829 116.5503
40.23873 109.5651
40.25917 100.9077
40.2796 91.13032
40.30848 76.47499
40.33735 62.11645
40.36622 49.10883
40.38066 43.31816
40.39509 38.064
40.40857 33.64744
40.42204 29.7029
40.43551 26.20925
40.44898 23.13999
40.46246 20.46068
40.47593 18.13919
40.4894 16.13584
40.50287 14.41337
40.51539 13.03295
40.5279 11.83841
40.54041 10.80404
40.55292 9.907724
40.56543 9.129818
40.57794 8.4531
40.60296 7.345573
40.62798 6.489612
40.653 5.816478
40.67802 5.277575
40.70304 4.838777
40.72806 4.476047
40.75308 4.172268
40.80312 3.69521
40.85316 3.341742
40.9032 3.073406
40.97249 2.799426
41.04178 2.604798
41.11107 2.466217
41.18036 2.368824
41.24965 2.302535
41.31894 2.26033
41.45752 2.230936
41.6269 2.272246
41.79627 2.383557
41.96565 2.561464
42.13502 2.812551
42.3044 3.1533
42.38909 3.365769
42.47377 3.612862
42.55846 3.901295
42.64314 4.239315
42.72783 4.63762
42.81251 5.111007
42.8972 5.681208
42.98189 6.377707
43.06658 7.240329
43.15126 8.325688
43.19361 8.977024
43.23595 9.718622
43.2783 10.56861
43.32064 11.54909
43.36299 12.68949
43.40533 14.02729
43.44767 15.61364
43.49001 17.51812
43.52851 19.60719
43.567 22.14157
43.6055 25.27088
43.64399 29.21616
43.66709 32.11435
43.69019 35.53942
43.71329 39.64271
43.73638 44.63116
43.75948 50.79956
43.77103 54.44576
43.78257 58.54395
43.79412 63.17473
43.80567 68.41996
43.81722 74.37779
43.82876 81.15411
43.83935 88.20523
43.84994 96.16564
43.86053 105.1558
43.87111 115.2967
43.8817 126.7486
43.89228 139.6397
43.90287 154.1512
43.91345 170.4165
43.92404 188.6285
43.93462 208.9118
43.94521 231.4556
43.95579 256.3543
43.96638 283.772
43.97696 313.7469
43.98755 346.3911
43.99813 381.6567
44.00968 423.1389
44.02123 467.6146
44.04433 564.6078
44.06743 669.7828
44.09052 778.666
44.1323 965.819
44.15319 1044.175
44.17407 1105.695
44.19704 1149.111
44.22 1163.632
44.22657 1162.238
44.24897 1139.119
44.27137 1089.359
44.29377 1016.907
44.31617 927.2289
44.36419 706.1719
44.3882 595.3483
44.41221 492.0873
44.43623 400.0107
44.46024 321.0748
44.47225 286.6662
44.48425 255.5953
44.49626 227.6815
44.50826 202.7993
44.52027 180.704
44.53228 161.1947
44.54429 144.0393
44.55629 129.0158
44.5683 115.8713
44.5803 104.4107
44.59231 94.41153
44.60431 85.70388
44.62177 74.98165
44.63378 68.73805
44.64579 63.26942
44.6698 54.23524
44.69381 47.16416
44.71782 41.53765
44.74184 36.98121
44.76585 33.23261
44.78986 30.10004
44.81387 27.44712
44.83789 25.17362
44.8619 23.20779
44.90992 19.98657
44.95794 17.47122
45.00596 15.46567
45.05617 13.77264
45.10637 12.39197
45.15658 11.25088
45.20678 10.29802
45.25699 9.495148
45.30719 8.814277
45.3574 8.233503
45.4076 7.736199
45.50801 6.941131
45.60842 6.35171
45.70883 5.916002
45.80924 5.597124
45.91402 5.363066
46.0188 5.213712
46.12358 5.138151
46.22835 5.12907
46.38552 5.232088
46.54269 5.474801
46.69986 5.869532
46.85702 6.443973
47.01419 7.245222
47.09277 7.751989
47.17135 8.345841
47.24994 9.045455
47.32852 9.875561
47.4071 10.86739
47.48568 12.06059
47.53807 12.99346
47.59046 14.05935
47.64285 15.28356
47.69524 16.69804
47.752 18.49314
47.80875 20.62888
47.86551 23.20039
47.92226 26.33705
47.95064 28.17238
47.97902 30.22351
48.0074 32.52659
48.03577 35.12507
48.06415 38.07608
48.09252 41.44736
48.1209 45.33101
48.14927 49.84159
48.17765 55.13911
48.20603 61.43646
48.22022 65.04936
48.23441 69.03335
48.2486 73.44623
48.26278 78.35388
48.27697 83.8471
48.29116 90.02402
48.30535 97.00713
48.31954 104.9442
48.33373 114.0128
48.34792 124.4255
48.36211 136.4351
48.37629 150.3291
48.3883 163.8333
48.40031 179.1845
48.41232 196.6522
48.42432 216.5173
48.43633 239.1388
48.44833 264.8301
48.46034 294.0065
48.47234 327.0067
48.48435 364.2801
48.49635 406.1552
48.50836 453.0756
48.52036 505.3045
48.53237 563.2206
48.54437 626.9496
48.55638 696.7302
48.56838 772.4676
48.59239 941.4655
48.6164 1131.168
48.66442 1547.415
48.71084 1932.288
48.73405 2089.225
48.75725 2207.396
48.77863 2274.374
48.8 2296.558
48.82318 2268.395
48.84636 2188.15
48.86954 2062.033
48.89272 1899.387
48.91728 1699.774
48.94184 1485.944
48.99095 1066.327
48.99988 995.983
49.02444 817.0593
49.049 662.0372
49.06128 593.899
49.07356 531.9397
49.08584 475.9664
49.09811 425.7398
49.11039 380.8374
49.12267 340.9189
49.13495 305.5762
49.14722 274.4156
49.1595 246.9727
49.17178 222.874
49.18406 201.7397
49.19633 183.2305
49.20806 167.6746
49.21978 153.9593
49.24322 131.1125
49.26666 113.1267
49.2901 98.80578
49.31354 87.24816
49.33698 77.78503
49.36042 69.92496
49.38386 63.30772
49.4073 57.6684
49.43074 52.81048
49.45418 48.58633
49.47762 44.88339
49.5245 38.71084
49.57138 33.79054
49.62496 29.28475
49.67854 25.66084
49.73212 22.69633
49.78569 20.23644
49.83927 18.16947
49.89285 16.41512
49.94643 14.91303
50 13.61731
50.06346 12.30019
50.12691 11.17604
50.19037 10.2089
50.25382 9.37137
50.31728 8.641225
50.38073 8.000846
50.50763 6.932929
50.63454 6.081754
50.76144 5.393806
50.88835 4.831356
51.01525 4.366473
51.15133 3.952883
51.28741 3.60887
51.42349 3.320583
51.55957 3.078241
51.69565 2.874303
51.83173 2.700009
52.10389 2.421101
52.37605 2.218209
52.64821 2.073693
52.92037 1.975865
53.19252 1.917386
53.44867 1.894481
53.75285 1.905722
54.05703 1.959444
54.36121 2.059858
54.66538 2.215495
54.96956 2.440876
55.12165 2.586623
55.27374 2.7593
55.42583 2.962736
55.57792 3.203388
55.73001 3.493521
55.88209 3.844634
56.03418 4.27159
56.18627 4.795886
56.33836 5.447846
56.49045 6.270891
56.5665 6.765398
56.64254 7.328394
56.71859 7.972584
56.79463 8.713441
56.87068 9.571764
56.94672 10.57521
57.02276 11.76083
57.0988 13.17649
57.16284 14.59278
57.22688 16.26602
57.29092 18.26238
57.35495 20.67212
57.40298 22.82586
57.45101 25.3556
57.49904 28.35811
57.52306 30.07625
57.54707 31.96447
57.57109 34.0488
57.5951 36.35683
57.61912 38.92586
57.64313 41.79704
57.66715 45.02623
57.69116 48.67775
57.71517 52.83789
57.73918 57.61607
57.75319 60.74475
57.7672 64.16655
57.78121 67.92271
57.79522 72.06188
57.80923 76.64163
57.82324 81.73009
57.83725 87.40788
57.85125 93.76542
57.86526 100.9239
57.87927 109.0109
57.89328 118.1803
57.90728 128.6029
57.92129 140.4997
57.9353 154.0992
57.94931 169.668
57.96331 187.4909
57.97432 203.3114
57.98533 220.9075
57.99634 240.4617
58.00734 262.1437
58.01835 286.1891
58.02935 312.7531
58.04036 342.082
58.05136 374.3153
58.06237 409.6941
58.07338 448.3569
58.09539 536.0374
58.1174 638.1397
58.13941 754.7106
58.15542 848.1303
58.17143 948.0536
58.21546 1246.588
58.25948 1549.96
58.29556 1767.85
58.33163 1927.077
58.34775 1972.806
58.38 2009.643
58.38807 2006.984
58.41225 1970.755
58.42838 1924.076
58.45286 1822.531
58.47733 1690.406
58.5018 1536.246
58.52627 1369.252
58.57169 1054.814
58.59668 892.8789
58.62166 745.6332
58.64664 615.8995
58.67162 504.7548
58.69661 411.7914
58.7091 371.7518
58.72159 335.6848
58.73408 303.3239
58.74657 274.3875
58.75906 248.588
58.77155 225.6392
58.79427 190.3023
58.81698 161.9353
58.83969 139.1514
58.8624 120.7924
58.88511 105.9094
58.90782 93.74351
58.93053 83.69957
58.95324 75.31744
58.97596 68.24172
58.99867 62.20971
59.02138 57.01307
59.04409 52.49492
59.08951 45.03714
59.13493 39.15158
59.17809 34.61904
59.22124 30.86602
59.26439 27.71636
59.30754 25.04293
59.35069 22.7512
59.39384 20.76963
59.43699 19.04325
59.48014 17.52923
59.56645 15.00915
59.65275 13.00994
59.73905 11.39657
59.82535 10.07528
59.90257 9.085589
59.97979 8.240974
60.05701 7.514751
60.13422 6.886142
60.21144 6.338036
60.28866 5.85656
60.44309 5.051956
60.59753 4.411284
60.75196 3.894455
60.9064 3.472018
61.06083 3.122732
61.18802 2.878844
61.3152 2.667385
61.56956 2.323048
61.82392 2.059426
62.07828 1.851373
62.33265 1.688734
62.58701 1.562872
62.84137 1.467694
63.09573 1.399005
63.31533 1.359977
63.53492 1.340239
63.75452 1.340616
63.97411 1.363863
64.1937 1.414965
64.41329 1.502014
64.63289 1.637089
64.74269 1.729609
64.85248 1.844952
64.96228 1.98903
65.07207 2.169742
65.18187 2.398357
65.29166 2.691059
65.37401 2.967134
65.45636 3.308563
65.53871 3.737763
65.62105 4.287345
65.66223 4.621918
65.7034 5.006997
65.74457 5.453598
65.78574 5.976024
65.82692 6.593583
65.86809 7.332345
65.90926 8.230152
65.95043 9.343489
65.97788 10.24758
66.00533 11.32531
66.02421 12.19565
66.04308 13.19831
66.06195 14.36559
66.08082 15.73871
66.09969 17.37085
66.11856 19.33022
