bin 	 value 	 error 
517.5 	 1.1401623487472534 	 0.0934316422385932 
522.5 	 1.1363389492034912 	 0.08471147382713752 
527.5 	 0.9500616788864136 	 0.07916018985965136 
532.5 	 0.9876052737236023 	 0.08334436449258083 
537.5 	 0.9237291216850281 	 0.08438413654474902 
542.5 	 0.8902987837791443 	 0.07867774198296434 
547.5 	 0.9299345016479492 	 0.08980034087352116 
552.5 	 0.7215175628662109 	 0.07068469100008247 
557.5 	 1.010335087776184 	 0.10233938372050806 
562.5 	 1.154953956604004 	 0.11894711712823326 
567.5 	 0.8176232576370239 	 0.09254529650835494 
572.5 	 0.8484182357788086 	 0.10535214942322137 
577.5 	 0.7615424990653992 	 0.10127030414842457 
582.5 	 0.700133204460144 	 0.09525701131487713 
587.5 	 0.9211506247520447 	 0.13204791820995 
