Time 	 Efficiency 
133 	 96.43034554255148 
134 	 96.44114449721268 
135 	 96.45242340541435 
136 	 96.46154252268381 
137 	 96.469461756102 
138 	 96.48050068753345 
139 	 96.48937982803265 
140 	 96.49993880592359 
141 	 96.51097773735502 
142 	 96.51985687785422 
143 	 96.52921597189392 
144 	 96.54025490332536 
145 	 96.55009395090556 
146 	 96.56161283587748 
147 	 96.57217181376842 
148 	 96.58249081488913 
149 	 96.5942496766313 
150 	 96.6031288171305 
151 	 96.61056809700821 
152 	 96.62256693552064 
153 	 96.6312060992496 
154 	 96.63984526297854 
155 	 96.64824444993725 
156 	 96.65664363689595 
157 	 96.66504282385465 
158 	 96.67392196435385 
159 	 96.6820811745423 
160 	 96.69168024535225 
161 	 96.69815961814896 
162 	 96.70559889802666 
163 	 96.71375810821512 
164 	 96.72119738809283 
165 	 96.72959657505153 
166 	 96.73943562263173 
167 	 96.74639494896894 
168 	 96.7535942520764 
169 	 96.75983364810287 
170 	 96.76871278860206 
171 	 96.77591209170953 
172 	 96.78119158065499 
173 	 96.78887083730295 
174 	 96.79535021009966 
175 	 96.80014974550464 
176 	 96.8083089556931 
177 	 96.81406839817906 
178 	 96.81958786389477 
179 	 96.8260672366915 
180 	 96.83110674886672 
181 	 96.83518635396094 
182 	 96.84022586613615 
183 	 96.84550535508163 
184 	 96.85150477433785 
185 	 96.85654428651307 
186 	 96.86206375222879 
187 	 96.86830314825525 
188 	 96.87334266043047 
189 	 96.8774222655247 
190 	 96.88366166155116 
191 	 96.88966108080737 
192 	 96.89494056975285 
193 	 96.90022005869832 
194 	 96.90453964056279 
195 	 96.90861924565702 
196 	 96.91317880429175 
197 	 96.91845829323722 
198 	 96.92205794479094 
199 	 96.92661750342567 
200 	 96.93237694591164 
201 	 96.9381363883976 
202 	 96.94269594703233 
203 	 96.94773545920755 
204 	 96.95301494815301 
205 	 96.95757450678775 
206 	 96.96309397250347 
207 	 96.96933336852993 
208 	 96.97389292716466 
209 	 96.97989234642087 
210 	 96.98325202120435 
211 	 96.98733162629858 
212 	 96.99069130108205 
213 	 96.99477090617629 
214 	 96.99933046481101 
215 	 97.00245016282423 
216 	 97.00652976791847 
217 	 97.01180925686394 
218 	 97.01660879226891 
219 	 97.01948851351189 
220 	 97.02524795599786 
221 	 97.03148735202433 
222 	 97.03652686419954 
223 	 97.03964656221278 
224 	 97.04276626022602 
225 	 97.04588595823924 
226 	 97.04900565625248 
227 	 97.05236533103594 
228 	 97.05692488967068 
229 	 97.06148444830541 
230 	 97.06628398371038 
231 	 97.06916370495337 
232 	 97.07324331004759 
233 	 97.0782828222228 
234 	 97.08260240408728 
235 	 97.08788189303276 
236 	 97.09172152135673 
237 	 97.0970010103022 
238 	 97.10108061539643 
239 	 97.10564017403115 
240 	 97.10803994173364 
241 	 97.11235952359812 
242 	 97.11691908223284 
243 	 97.11931884993533 
244 	 97.12339845502956 
245 	 97.12699810658329 
246 	 97.13227759552875 
247 	 97.13539729354198 
248 	 97.13995685217671 
249 	 97.14331652696019 
250 	 97.14811606236516 
251 	 97.15099578360815 
252 	 97.15627527255361 
253 	 97.15891501702635 
254 	 97.1605948544181 
255 	 97.16419450597182 
256 	 97.16779415752555 
257 	 97.17091385553879 
258 	 97.17523343740326 
259 	 97.18003297280823 
260 	 97.18099287988923 
261 	 97.18339264759172 
262 	 97.18555243852394 
263 	 97.18843215976693 
264 	 97.19131188100992 
265 	 97.1946715557934 
266 	 97.19803123057687 
267 	 97.20115092859011 
268 	 97.20427062660335 
269 	 97.20715034784632 
270 	 97.21003006908931 
271 	 97.21218986002155 
272 	 97.21434965095379 
273 	 97.21698939542652 
274 	 97.21914918635875 
275 	 97.22106900052076 
276 	 97.22562855915548 
277 	 97.22946818747945 
278 	 97.23186795518194 
279 	 97.23378776934393 
280 	 97.23498765319518 
281 	 97.23762739766791 
282 	 97.24002716537039 
283 	 97.24242693307288 
284 	 97.24530665431587 
285 	 97.24770642201835 
286 	 97.25010618972082 
287 	 97.25274593419357 
288 	 97.25514570189605 
289 	 97.25754546959854 
290 	 97.25994523730103 
291 	 97.26258498177377 
292 	 97.2642648191655 
293 	 97.2671445404085 
294 	 97.26954430811098 
295 	 97.27242402935396 
296 	 97.2750637738267 
297 	 97.27578370413744 
298 	 97.28034326277216 
299 	 97.28322298401515 
300 	 97.28466284463664 
301 	 97.28706261233913 
302 	 97.28826249619037 
303 	 97.29066226389286 
304 	 97.29354198513583 
305 	 97.29570177606807 
306 	 97.29762159023007 
307 	 97.2997813811623 
308 	 97.30194117209454 
309 	 97.30290107917554 
310 	 97.30410096302677 
311 	 97.30698068426976 
312 	 97.30866052166151 
313 	 97.31082031259373 
314 	 97.31274012675573 
315 	 97.3146599409177 
