energy 	 mean 	 psig1 	 nsig1 	 psig2 	 nsig2 
61 	 4.181385270653987 	 4.237338113602195 	 4.125432427705779 	 4.34924379949861 	 4.013526741809364 
62 	 4.186085029398462 	 4.241646905925777 	 4.130523152871146 	 4.352770658980409 	 4.019399399816514 
63 	 4.189849147944424 	 4.245091644605599 	 4.13460665128325 	 4.355576637927948 	 4.024121657960901 
64 	 4.193611955572947 	 4.248431133154483 	 4.13879277799141 	 4.358069488317556 	 4.029154422828338 
65 	 4.197368432960768 	 4.252021689270061 	 4.142715176651475 	 4.361328201888646 	 4.03340866403289 
66 	 4.201351777824532 	 4.256127402457149 	 4.146576153191915 	 4.365678651722382 	 4.037024903926682 
67 	 4.204975239724484 	 4.259645435002545 	 4.150305044446423 	 4.368985825558668 	 4.0409646538903 
68 	 4.208831001527904 	 4.263198302084275 	 4.154463700971533 	 4.371932903197016 	 4.045729099858792 
69 	 4.212864716306729 	 4.2669003906705285 	 4.15882904194293 	 4.374971739398127 	 4.050757693215331 
70 	 4.21622609010969 	 4.270161142336415 	 4.162291037882965 	 4.378031246789866 	 4.0544209334295145 
71 	 4.2199101633393825 	 4.273667458089122 	 4.166152868589643 	 4.3811820475886 	 4.058638279090165 
72 	 4.223399987931266 	 4.276956965001368 	 4.169843010861165 	 4.384070919141572 	 4.06272905672096 
73 	 4.226658508018499 	 4.280112334046679 	 4.173204681990319 	 4.387019986103039 	 4.066297029933959 
74 	 4.230161391366606 	 4.2832840288566745 	 4.177038753876537 	 4.389529303836813 	 4.070793478896398 
75 	 4.233682672421544 	 4.286472566110867 	 4.180892778732221 	 4.392052353489514 	 4.075312991353575 
76 	 4.23699903863486 	 4.289782006515576 	 4.184216070754143 	 4.395347942277009 	 4.07865013499271 
77 	 4.240228226967371 	 4.292874878915841 	 4.187581575018902 	 4.398168182812781 	 4.0822882711219615 
78 	 4.24327034358047 	 4.29571777844897 	 4.1908229087119695 	 4.4006126481859695 	 4.08592803897497 
79 	 4.246159313688697 	 4.298837068269761 	 4.193481559107632 	 4.404192577431891 	 4.088126049945503 
80 	 4.249248372905868 	 4.302052486346375 	 4.19644425946536 	 4.40766071322739 	 4.090836032584345 
81 	 4.252651591846602 	 4.3051680274768875 	 4.200135156216317 	 4.4102008987374575 	 4.095102284955747 
82 	 4.255741173299792 	 4.3078956239593715 	 4.203586722640212 	 4.412204525278532 	 4.099277821321052 
83 	 4.258744307968842 	 4.310811856294511 	 4.206676759643172 	 4.414946952945849 	 4.102541662991834 
84 	 4.2617528103432685 	 4.313795118544645 	 4.209710502141892 	 4.417879734947399 	 4.105625885739138 
85 	 4.264640364599001 	 4.316607026795663 	 4.212673702402339 	 4.420540351188988 	 4.1087403780090135 
86 	 4.267448178934867 	 4.319262781452569 	 4.215633576417165 	 4.422891986487973 	 4.112004371381761 
87 	 4.270182200896293 	 4.32183250058591 	 4.218531901206675 	 4.425133099965144 	 4.115231301827441 
88 	 4.27300291874163 	 4.324475100754301 	 4.221530736728959 	 4.4274194647796445 	 4.118586372703616 
89 	 4.276020115157404 	 4.3274408657427825 	 4.224599364572026 	 4.430282366913539 	 4.12175786340127 
90 	 4.278885563301437 	 4.330309063195119 	 4.2274620634077555 	 4.4331560629824835 	 4.124615063620391 
91 	 4.281396575721747 	 4.33266845491912 	 4.230124696524373 	 4.435212213313868 	 4.127580938129626 
92 	 4.284047711636253 	 4.335107123430364 	 4.232988299842142 	 4.437225947018587 	 4.1308694762539195 
93 	 4.286642131142625 	 4.337705879394737 	 4.235578382890513 	 4.439833375898961 	 4.1334508863862895 
94 	 4.289066749072928 	 4.340014099887586 	 4.23811939825827 	 4.4419088015169015 	 4.136224696628955 
95 	 4.291628354786986 	 4.3424812073604935 	 4.240775502213478 	 4.444186912507509 	 4.139069797066463 
96 	 4.294410089746265 	 4.345376093872592 	 4.243444085619937 	 4.447308102125248 	 4.141512077367281 
97 	 4.296877809746448 	 4.347868033045557 	 4.245887586447339 	 4.449848479643773 	 4.143907139849123 
98 	 4.2991206958716415 	 4.349938128200925 	 4.248303263542358 	 4.451572992859492 	 4.146668398883791 
99 	 4.301426712533651 	 4.352195142991371 	 4.250658282075931 	 4.453732003906811 	 4.1491214211604905 
100 	 4.303979191322975 	 4.354712107049498 	 4.253246275596452 	 4.456177938502545 	 4.151780444143405 
101 	 4.306575158871185 	 4.357177476014125 	 4.255972841728245 	 4.458382110300006 	 4.154768207442364 
102 	 4.308964935435007 	 4.359481128957338 	 4.258448741912677 	 4.460513516002 	 4.1574163548680145 
