x   y   high    low
62.5 3.8844876637378665 3.9343770818763826 3.8345982455993504
63.5 3.885886421241589 3.936758437522603 3.835014404960575
64.5 3.890620117445366 3.9393892989211796 3.8418509359695525
65.5 3.89472302180268 3.9445777941145383 3.8448682494908217
66.5 3.8948137830146687 3.9438416006568224 3.845785965372515
67.5 3.898230132278074 3.948158915427509 3.848301349128639
68.5 3.902218490870999 3.9506545739978636 3.8537824077441343
69.5 3.9049019099935633 3.9538884698316834 3.8559153501554433
70.5 3.908901891837866 3.958169274098662 3.85963450957707
71.5 3.910496542813841 3.9578562308899623 3.86313685473772
72.5 3.9157805890073494 3.9631689311478597 3.868392246866839
73.5 3.9180532188905985 3.965026995212836 3.871079442568361
74.5 3.9199882955429355 3.9671455709072814 3.8728310201785896
75.5 3.9234007115131986 3.9707566612962126 3.8760447617301845
76.5 3.9258376505638686 3.972971561121417 3.87870374000632
77.5 3.9287656221587466 3.975180236215503 3.88235100810199
78.5 3.9303852415647293 3.976201141138822 3.8845693419906366
79.5 3.934213421602279 3.9811992812490002 3.887227561955558
80.5 3.9358457196325247 3.983693197630831 3.8879982416342185
81.5 3.9391401133349695 3.984181621841972 3.894098604827967
82.5 3.9405642453135736 3.9848840507792844 3.896244439847863
83.5 3.9435331284346633 3.9893503600101843 3.8977158968591423
84.5 3.946872149722445 3.9922709473163014 3.9014733521285887
85.5 3.9486931224242015 3.9946970757590243 3.9026891690893786
86.5 3.9506689058751023 3.9963755220365016 3.904962289713703
87.5 3.9525083611941576 3.9976847536073845 3.9073319687809307
88.5 3.954769461456242 3.9991802980111966 3.910358624901287
89.5 3.958225941269522 4.00450740690874 3.911944475630304
90.5 3.9601768532982304 4.003662548042186 3.9166911585542747
91.5 3.962557979260958 4.005952731762806 3.9191632267591103
92.5 3.965144552903416 4.008731945418478 3.9215571603883537
93.5 3.965376641488977 4.009918636897674 3.9208346460802805
94.5 3.968734785431086 4.0122698188066614 3.9251997520555104
95.5 3.972401386875355 4.0169484733330725 3.927854300417638
96.5 3.9748524010272015 4.018359775236384 3.9313450268180192
97.5 3.976526489668573 4.020336602660619 3.9327163766765274
98.5 3.9803364692068453 4.023971936449054 3.936701001964637
99.5 3.9800775538708497 4.0237068743944 3.9364482333472997
100.5 3.983518238217761 4.0263050173090695 3.9407314591264533
101.5 3.9843859682179956 4.027058462283958 3.9417134741520337
102.5 3.984617863509098 4.027118636402089 3.942117090616107
103.5 3.988958618175178 4.032068966174861 3.9458482701754947
104.5 3.9900920971653346 4.033528088970232 3.9466561053604376
105.5 3.9923540834743907 4.035591586010064 3.9491165809387176
106.5 3.9936038288546962 4.035416832539345 3.9517908251700473
107.5 3.9955722657241193 4.037951295844889 3.9531932356033495
108.5 3.9969971427308097 4.039983601458302 3.954010684003317
109.5 4.00008444276837 4.042614627646819 3.95755425788992
110.5 4.0017692201091295 4.0439042862856684 3.95963415393259
111.5 4.003304587318153 4.044797210365363 3.9618119642709426
112.5 4.005659576117913 4.046405617926329 3.964913534309497
113.5 4.006303652464743 4.049565673113353 3.9630416318161323
114.5 4.008998502491247 4.050939547073405 3.967057457909089
115.5 4.009653072611279 4.050949210435553 3.9683569347870047
116.5 4.012597046410197 4.054428267443653 3.9707658253767413
117.5 4.014334004562114 4.056458894493754 3.9722091146304743
118.5 4.015106617854016 4.056394842785189 3.9738183929228432
119.5 4.016501425312066 4.057141154304683 3.9758616963194493
120.5 4.018050179244509 4.0595502958376235 3.9765500626513934
