pulsearea weight xerror yerror
1245.0 308.0 5.0 17.549928774784245
1255.0 327.0 5.0 18.083141320025124
1265.0 325.0 5.0 18.027756377319946
1275.0 312.0 5.0 17.663521732655695
1285.0 324.0 5.0 18.0
1295.0 371.0 5.0 19.261360284258224
1305.0 333.0 5.0 18.24828759089466
1315.0 368.0 5.0 19.183326093250876
1325.0 343.0 5.0 18.520259177452136
1335.0 353.0 5.0 18.788294228055936
1345.0 389.0 5.0 19.72308292331602
1355.0 376.0 5.0 19.390719429665317
1365.0 401.0 5.0 20.024984394500787
1375.0 377.0 5.0 19.4164878389476
1385.0 398.0 5.0 19.949937343260004
1395.0 350.0 5.0 18.708286933869708
1405.0 399.0 5.0 19.974984355438178
1415.0 385.0 5.0 19.621416870348583
1425.0 333.0 5.0 18.24828759089466
1435.0 385.0 5.0 19.621416870348583
1445.0 354.0 5.0 18.81488772222678
1455.0 358.0 5.0 18.920887928424502
1465.0 382.0 5.0 19.544820285692065
1475.0 365.0 5.0 19.1049731745428
1485.0 346.0 5.0 18.601075237738275
1495.0 356.0 5.0 18.867962264113206
1505.0 356.0 5.0 18.867962264113206
1515.0 397.0 5.0 19.924858845171276
1525.0 384.0 5.0 19.595917942265423
1535.0 362.0 5.0 19.026297590440446
1545.0 360.0 5.0 18.973665961010276
1555.0 371.0 5.0 19.261360284258224
1565.0 412.0 5.0 20.29778313018444
1575.0 386.0 5.0 19.6468827043885
1585.0 365.0 5.0 19.1049731745428
1595.0 351.0 5.0 18.734993995195193
1605.0 299.0 5.0 17.291616465790582
1615.0 245.0 5.0 15.652475842498529
1625.0 243.0 5.0 15.588457268119896
1635.0 216.0 5.0 14.696938456699069
1645.0 197.0 5.0 14.035668847618199
1655.0 169.0 5.0 13.0
1665.0 144.0 5.0 12.0
1675.0 128.0 5.0 11.313708498984761
1685.0 109.0 5.0 10.44030650891055
1695.0 88.0 5.0 9.38083151964686
1705.0 91.0 5.0 9.539392014169456
1715.0 55.0 5.0 7.416198487095663
1725.0 63.0 5.0 7.937253933193772
1735.0 50.0 5.0 7.0710678118654755
1745.0 37.0 5.0 6.082762530298219
1755.0 40.0 5.0 6.324555320336759
1765.0 26.0 5.0 5.0990195135927845
1775.0 17.0 5.0 4.123105625617661
1785.0 16.0 5.0 4.0
1795.0 12.0 5.0 3.4641016151377544
1805.0 14.0 5.0 3.7416573867739413
1815.0 10.0 5.0 3.1622776601683795
1825.0 11.0 5.0 3.3166247903554
1835.0 11.0 5.0 3.3166247903554003
1845.0 9.0 5.0 3.0
1855.0 6.0 5.0 2.449489742783178
1865.0 11.0 5.0 3.3166247903554
1875.0 7.0 5.0 2.6457513110645907
1885.0 5.0 5.0 2.23606797749979
1895.0 5.0 5.0 2.23606797749979
1905.0 2.0 5.0 1.4142135623730951
1915.0 5.0 5.0 2.23606797749979
1925.0 5.0 5.0 2.23606797749979
1935.0 6.0 5.0 2.449489742783178
1945.0 1.0 5.0 1.0
1955.0 9.0 5.0 3.0000000000000004
1965.0 6.0 5.0 2.4494897427831783
1975.0 2.0 5.0 1.4142135623730951
1985.0 7.0 5.0 2.6457513110645907
1995.0 2.0 5.0 1.4142135623730951
2005.0 0.0 5.0 0.0
2015.0 3.0 5.0 1.7320508075688774
2025.0 5.0 5.0 2.23606797749979
2035.0 2.0 5.0 1.4142135623730951
2045.0 1.0 5.0 1.0
2055.0 2.0 5.0 1.4142135623730951
2065.0 1.0 5.0 1.0
2075.0 3.0 5.0 1.7320508075688774
2085.0 4.0 5.0 2.0
2095.0 1.0 5.0 1.0
2105.0 1.0 5.0 1.0
2115.0 4.0 5.0 2.0
2125.0 1.0 5.0 1.0
2135.0 4.0 5.0 2.0
2145.0 5.0 5.0 2.23606797749979
2155.0 0.0 5.0 0.0
2165.0 0.0 5.0 0.0
