pulsearea weight xerror yerror
1225.0 84.0 5.0 9.16515138991168
1235.0 92.0 5.0 9.591663046625438
1245.0 93.0 5.0 9.643650760992955
1255.0 85.0 5.0 9.219544457292887
1265.0 77.0 5.0 8.774964387392123
1275.0 100.0 5.0 10.0
1285.0 91.0 5.0 9.539392014169456
1295.0 65.0 5.0 8.06225774829855
1305.0 86.0 5.0 9.273618495495704
1315.0 83.0 5.0 9.1104335791443
1325.0 78.0 5.0 8.831760866327848
1335.0 90.0 5.0 9.486832980505138
1345.0 78.0 5.0 8.831760866327848
1355.0 77.0 5.0 8.774964387392123
1365.0 62.0 5.0 7.874007874011811
1375.0 63.0 5.0 7.937253933193772
1385.0 58.0 5.0 7.615773105863909
1395.0 57.0 5.0 7.54983443527075
1405.0 49.0 5.0 7.0
1415.0 43.0 5.0 6.557438524302
1425.0 54.0 5.0 7.3484692283495345
1435.0 50.0 5.0 7.0710678118654755
1445.0 37.0 5.0 6.082762530298219
1455.0 46.0 5.0 6.782329983125268
1465.0 45.0 5.0 6.708203932499369
1475.0 37.0 5.0 6.082762530298219
1485.0 35.0 5.0 5.916079783099617
1495.0 29.0 5.0 5.385164807134504
1505.0 25.0 5.0 5.0
1515.0 21.0 5.0 4.58257569495584
1525.0 17.0 5.0 4.123105625617661
1535.0 24.0 5.0 4.898979485566356
1545.0 16.0 5.0 4.0
1555.0 29.0 5.0 5.385164807134504
1565.0 29.0 5.0 5.385164807134504
1575.0 25.0 5.0 5.0
1585.0 24.0 5.0 4.898979485566356
1595.0 19.0 5.0 4.358898943540674
1605.0 20.0 5.0 4.47213595499958
1615.0 26.0 5.0 5.099019513592785
1625.0 16.0 5.0 4.0
1635.0 13.0 5.0 3.605551275463989
1645.0 16.0 5.0 4.0
1655.0 6.0 5.0 2.449489742783178
1665.0 7.0 5.0 2.6457513110645907
1675.0 16.0 5.0 4.0
1685.0 8.0 5.0 2.8284271247461903
1695.0 12.0 5.0 3.4641016151377544
1705.0 13.0 5.0 3.605551275463989
1715.0 4.0 5.0 2.0
1725.0 7.0 5.0 2.6457513110645907
1735.0 11.0 5.0 3.3166247903554
1745.0 10.0 5.0 3.1622776601683795
1755.0 12.0 5.0 3.4641016151377544
1765.0 8.0 5.0 2.8284271247461903
1775.0 8.0 5.0 2.8284271247461903
1785.0 7.0 5.0 2.6457513110645907
1795.0 6.0 5.0 2.449489742783178
1805.0 11.0 5.0 3.3166247903554
1815.0 8.0 5.0 2.8284271247461903
1825.0 11.0 5.0 3.3166247903554003
1835.0 5.0 5.0 2.23606797749979
1845.0 10.0 5.0 3.1622776601683795
1855.0 9.0 5.0 3.0
1865.0 5.0 5.0 2.23606797749979
1875.0 3.0 5.0 1.7320508075688774
1885.0 5.0 5.0 2.23606797749979
1895.0 4.0 5.0 2.0
1905.0 2.0 5.0 1.4142135623730951
1915.0 5.0 5.0 2.23606797749979
1925.0 6.0 5.0 2.4494897427831783
1935.0 4.0 5.0 2.0
1945.0 5.0 5.0 2.23606797749979
1955.0 5.0 5.0 2.23606797749979
1965.0 2.0 5.0 1.4142135623730951
1975.0 6.0 5.0 2.4494897427831783
1985.0 6.0 5.0 2.449489742783178
1995.0 4.0 5.0 2.0
2005.0 6.0 5.0 2.449489742783178
2015.0 8.0 5.0 2.8284271247461903
2025.0 6.0 5.0 2.449489742783178
2035.0 3.0 5.0 1.7320508075688772
2045.0 1.0 5.0 1.0
2055.0 7.0 5.0 2.6457513110645907
2065.0 3.0 5.0 1.7320508075688774
2075.0 2.0 5.0 1.4142135623730951
2085.0 0.0 5.0 0.0
2095.0 4.0 5.0 2.0
2105.0 3.0 5.0 1.7320508075688772
2115.0 2.0 5.0 1.4142135623730951
2125.0 1.0 5.0 1.0
2135.0 3.0 5.0 1.7320508075688774
2145.0 3.0 5.0 1.7320508075688774
