time weight xerror yerror
226.4 62.0 0.8 7.874007874011811
228.0 51.0 0.8 7.14142842854285
229.6 56.0 0.8 7.483314773547883
231.2 77.0 0.8 8.774964387392123
232.8 53.0 0.8 7.280109889280518
234.4 44.0 0.8 6.6332495807108
236.0 47.0 0.8 6.855654600401044
237.6 49.0 0.8 7.0
239.2 54.0 0.8 7.3484692283495345
240.8 49.0 0.8 6.999999999999999
242.4 57.0 0.8 7.54983443527075
244.0 46.0 0.8 6.782329983125268
245.6 43.0 0.8 6.557438524302
247.2 56.0 0.8 7.483314773547883
248.8 43.0 0.8 6.557438524302
250.4 53.0 0.8 7.280109889280519
252.0 41.0 0.8 6.4031242374328485
253.6 54.0 0.8 7.3484692283495345
255.2 51.0 0.8 7.14142842854285
256.8 51.0 0.8 7.14142842854285
258.4 43.0 0.8 6.557438524302
260.0 41.0 0.8 6.4031242374328485
261.6 43.0 0.8 6.557438524302001
263.2 44.0 0.8 6.633249580710799
264.8 37.0 0.8 6.082762530298219
266.4 36.0 0.8 6.0
268.0 40.0 0.8 6.324555320336759
269.6 28.0 0.8 5.291502622129181
271.2 37.0 0.8 6.082762530298219
272.8 47.0 0.8 6.855654600401044
274.4 31.0 0.8 5.5677643628300215
276.0 37.0 0.8 6.082762530298219
277.6 52.0 0.8 7.211102550927978
279.2 44.0 0.8 6.6332495807108
280.8 31.0 0.8 5.5677643628300215
282.4 33.0 0.8 5.744562646538029
284.0 41.0 0.8 6.4031242374328485
285.6 47.0 0.8 6.855654600401044
287.2 36.0 0.8 6.0
288.8 37.0 0.8 6.082762530298219
290.4 33.0 0.8 5.744562646538029
292.0 34.0 0.8 5.830951894845301
293.6 33.0 0.8 5.744562646538029
295.2 31.0 0.8 5.567764362830022
296.8 45.0 0.8 6.708203932499369
298.4 28.0 0.8 5.291502622129181
300.0 29.0 0.8 5.385164807134505
301.6 39.0 0.8 6.244997998398399
303.2 31.0 0.8 5.5677643628300215
304.8 42.0 0.8 6.48074069840786
306.4 48.0 0.8 6.928203230275509
308.0 27.0 0.8 5.196152422706632
309.6 40.0 0.8 6.324555320336759
311.2 35.0 0.8 5.916079783099615
312.8 26.0 0.8 5.0990195135927845
314.4 32.0 0.8 5.656854249492381
316.0 30.0 0.8 5.477225575051661
317.6 27.0 0.8 5.196152422706632
319.2 31.0 0.8 5.5677643628300215
320.8 31.0 0.8 5.5677643628300215
322.4 22.0 0.8 4.69041575982343
324.0 38.0 0.8 6.164414002968977
325.6 23.0 0.8 4.795831523312719
327.2 29.0 0.8 5.385164807134504
328.8 20.0 0.8 4.47213595499958
330.4 28.0 0.8 5.291502622129181
332.0 25.0 0.8 5.0
333.6 38.0 0.8 6.164414002968976
335.2 19.0 0.8 4.358898943540673
336.8 21.0 0.8 4.58257569495584
338.4 19.0 0.8 4.358898943540674
340.0 25.0 0.8 5.0
341.6 31.0 0.8 5.5677643628300215
343.2 18.0 0.8 4.242640687119285
344.8 29.0 0.8 5.385164807134504
346.4 19.0 0.8 4.358898943540674
348.0 35.0 0.8 5.916079783099616
349.6 25.0 0.8 5.0
351.2 34.0 0.8 5.830951894845301
352.8 18.0 0.8 4.242640687119285
354.4 10.0 0.8 3.1622776601683795
356.0 16.0 0.8 4.0
357.6 32.0 0.8 5.656854249492381
359.2 17.0 0.8 4.123105625617661
360.8 13.0 0.8 3.605551275463989
362.4 24.0 0.8 4.898979485566356
364.0 18.0 0.8 4.242640687119286
365.6 19.0 0.8 4.358898943540674
367.2 26.0 0.8 5.0990195135927845
368.8 22.0 0.8 4.69041575982343
370.4 21.0 0.8 4.58257569495584
372.0 21.0 0.8 4.58257569495584
373.6 12.0 0.8 3.4641016151377544
375.2 16.0 0.8 4.0
376.8 22.0 0.8 4.69041575982343
378.4 20.0 0.8 4.47213595499958
380.0 24.0 0.8 4.898979485566356
381.6 23.0 0.8 4.795831523312719
383.2 17.0 0.8 4.123105625617661
384.8 22.0 0.8 4.69041575982343
386.4 13.0 0.8 3.605551275463989
388.0 16.0 0.8 4.0
389.6 29.0 0.8 5.385164807134505
391.2 24.0 0.8 4.898979485566356
392.8 21.0 0.8 4.58257569495584
394.4 12.0 0.8 3.464101615137755
396.0 15.0 0.8 3.872983346207417
397.6 19.0 0.8 4.358898943540674
399.2 15.0 0.8 3.872983346207417
400.8 12.0 0.8 3.464101615137755
402.4 13.0 0.8 3.605551275463989
404.0 12.0 0.8 3.4641016151377544
405.6 12.0 0.8 3.464101615137755
