low_edge centre high_edge rate neg_error pos_error bin_error
41.0 41.5 42.0 0.37635213136672974 0.00048476798574163295 0.00048476798574163295 0.5
42.0 42.5 43.0 0.3766762614250183 0.00047042533945356303 0.00047042533945356303 0.5
43.0 43.5 44.0 0.36048293113708496 0.00044833023542919793 0.00044833023542919793 0.5
44.0 44.5 45.0 0.3531656265258789 0.00043611924974713053 0.00043611924974713053 0.5
45.0 45.5 46.0 0.35563772916793823 0.0004347413023856832 0.0004347413023856832 0.5
46.0 46.5 47.0 0.37195515632629395 0.00040804411526206333 0.00040804411526206333 0.5
47.0 47.5 48.0 0.34193089604377747 0.00040484564959994326 0.00040484564959994326 0.5
48.0 48.5 49.0 0.3376370966434479 0.00038470768123342696 0.00038470768123342696 0.5
49.0 49.5 50.0 0.3380995988845825 0.0003685105154537656 0.0003685105154537656 0.5
50.0 50.5 51.0 0.3397309482097626 0.00036742346141747673 0.00036742346141747673 0.5
51.0 51.5 52.0 0.350497305393219 0.00034698703145794946 0.00034698703145794946 0.5
52.0 52.5 53.0 0.3500675559043884 0.000324037034920393 0.000324037034920393 0.5
53.0 53.5 54.0 0.3246307373046875 0.00031527765540868895 0.00031527765540868895 0.5
54.0 54.5 55.0 0.3256308138370514 0.0003001666203960727 0.0003001666203960727 0.5
55.0 55.5 56.0 0.332291841506958 0.00027676705006196095 0.00027676705006196095 0.5
56.0 56.5 57.0 0.34087663888931274 0.000273313007374329 0.000273313007374329 0.5
57.0 57.5 58.0 0.3308594524860382 0.00026038433132583076 0.00026038433132583076 0.5
58.0 58.5 59.0 0.34171780943870544 0.00024062418831031932 0.00024062418831031932 0.5
59.0 59.5 60.0 0.3358055055141449 0.0002330236039546209 0.0002330236039546209 0.5
60.0 60.5 61.0 0.3263806402683258 0.00022181073012818837 0.00022181073012818837 0.5
61.0 61.5 62.0 0.33893463015556335 0.00020248456731316588 0.00020248456731316588 0.5
62.0 62.5 63.0 0.316314160823822 0.00019544820285692064 0.00019544820285692064 0.5
63.0 63.5 64.0 0.32449987530708313 0.00018 0.00018 0.5
64.0 64.5 65.0 0.308064728975296 0.000176351920885484 0.000176351920885484 0.5
65.0 65.5 66.0 0.30881941318511963 0.0001717556403731767 0.0001717556403731767 0.5
66.0 66.5 67.0 0.30424267053604126 0.00017 0.00017 0.5
67.0 67.5 68.0 0.3002792298793793 0.00015684387141358123 0.00015684387141358123 0.5
68.0 68.5 69.0 0.2865164279937744 0.00015556349186104048 0.00015556349186104048 0.5
69.0 69.5 70.0 0.2766833007335663 0.000150996688705415 0.000150996688705415 0.5
70.0 70.5 71.0 0.28546491265296936 0.00014764823060233403 0.00014764823060233403 0.5
71.0 71.5 72.0 0.27041956782341003 0.00014594519519326425 0.00014594519519326425 0.5
72.0 72.5 73.0 0.25369247794151306 0.00014628738838327795 0.00014628738838327795 0.5
73.0 73.5 74.0 0.24041762948036194 0.00013964240043768943 0.00013964240043768943 0.5
74.0 74.5 75.0 0.24269458651542664 0.00013638181696985858 0.00013638181696985858 0.5
75.0 75.5 76.0 0.23138263821601868 0.00013638181696985858 0.00013638181696985858 0.5
76.0 76.5 77.0 0.22261518239974976 0.00012767145334803705 0.00012767145334803705 0.5
77.0 77.5 78.0 0.21536095440387726 0.00011618950038622251 0.00011618950038622251 0.5
78.0 78.5 79.0 0.21727870404720306 0.00011661903789690602 0.00011661903789690602 0.5
79.0 79.5 80.0 0.2199508249759674 0.00011747340124470732 0.00011747340124470732 0.5
80.0 80.5 81.0 0.21454229950904846 0.00012041594578792296 0.00012041594578792296 0.5
81.0 81.5 82.0 0.1953178346157074 0.00011135528725660044 0.00011135528725660044 0.5
82.0 82.5 83.0 0.20994625985622406 0.00011401754250991381 0.00011401754250991381 0.5
83.0 83.5 84.0 0.20114439725875854 0.00010908712114635715 0.00010908712114635715 0.5
84.0 84.5 85.0 0.21443787217140198 0.00010392304845413265 0.00010392304845413265 0.5
85.0 85.5 86.0 0.20199355483055115 9.539392014169458e-05 9.539392014169458e-05 0.5
86.0 86.5 87.0 0.19285482168197632 9.486832980505139e-05 9.486832980505139e-05 0.5
87.0 87.5 88.0 0.18220701813697815 7.681145747868608e-05 7.681145747868608e-05 0.5
88.0 88.5 89.0 0.18533815443515778 9.110433579144299e-05 9.110433579144299e-05 0.5
89.0 89.5 90.0 0.18292638659477234 9.327379053088816e-05 9.327379053088816e-05 0.5
90.0 90.5 91.0 0.16439813375473022 8.660254037844386e-05 8.660254037844386e-05 0.5
91.0 91.5 92.0 0.148927241563797 7.615773105863909e-05 7.615773105863909e-05 0.5
92.0 92.5 93.0 0.14338980615139008 6.557438524302001e-05 6.557438524302001e-05 0.5
93.0 93.5 94.0 0.12325946986675262 7.416198487095664e-05 7.416198487095664e-05 0.5
94.0 94.5 95.0 0.1101151555776596 6.6332495807108e-05 6.6332495807108e-05 0.5
95.0 95.5 96.0 0.092835932970047 6.164414002968977e-05 6.164414002968977e-05 0.5
96.0 96.5 97.0 0.07412578910589218 6.244997998398399e-05 6.244997998398399e-05 0.5
97.0 97.5 98.0 0.0579870380461216 6.708203932499369e-05 6.708203932499369e-05 0.5
98.0 98.5 99.0 0.04699638858437538 4.358898943540674e-05 4.358898943540674e-05 0.5
99.0 99.5 100.0 0.0328705720603466 4.898979485566357e-05 4.898979485566357e-05 0.5
100.0 100.5 101.0 0.025071728974580765 4.58257569495584e-05 4.58257569495584e-05 0.5
101.0 101.5 102.0 0.018379097804427147 4.2426406871192855e-05 4.2426406871192855e-05 0.5
102.0 102.5 103.0 0.012862404808402061 4.2426406871192855e-05 4.2426406871192855e-05 0.5
103.0 103.5 104.0 0.008809312246739864 4.58257569495584e-05 4.58257569495584e-05 0.5
104.0 104.5 105.0 0.009808124974370003 4.69041575982343e-05 4.69041575982343e-05 0.5
105.0 105.5 106.0 0.004836908541619778 4.358898943540674e-05 4.358898943540674e-05 0.5
106.0 106.5 107.0 0.0073691485449671745 4.123105625617661e-05 4.123105625617661e-05 0.5
107.0 107.5 108.0 0.008254525251686573 3.1622776601683795e-05 3.1622776601683795e-05 0.5
108.0 108.5 109.0 0.005862551275640726 3.0000000000000004e-05 3.0000000000000004e-05 0.5
109.0 109.5 110.0 0.008584639057517052 2.6457513110645906e-05 2.6457513110645906e-05 0.5
110.0 110.5 111.0 0.0072591486386954784 2.4494897427831785e-05 2.4494897427831785e-05 0.5
111.0 111.5 112.0 0.006552276201546192 2.8284271247461902e-05 2.8284271247461902e-05 0.5
112.0 112.5 113.0 0.01100549753755331 1e-05 1e-05 0.5
113.0 113.5 114.0 0.01072712242603302 1.4142135623730951e-05 1.4142135623730951e-05 0.5
114.0 114.5 115.0 0.010418746620416641 0.0 0.0 0.5
115.0 115.5 116.0 0.018210580572485924 1e-05 1e-05 0.5
